ENTITY_STABLE_ID	NAME	DESCRIPTION	AHB_44	AHB_42	AHB_40	AHB_56	AHB_19	AHB_8	AHB_74	AHB_59	AHB_21	AHB_32	AHB_50	AHB_46	AHB_9	AHB_26	AHB_75	AHB_69	AHB_18	AHB_7	AHB_23	AHB_62	AHB_47	AHB_1	AHB_38	AHB_35	AHB_72	AHB_63	AHB_25	AHB_4	AHB_12	AHB_70	AHB_48	AHB_73	AHB_65	AHB_39	AHB_34	AHB_28	AHB_5	AHB_71	AHB_10	AHB_67	AHB_31	AHB_29	AHB_58	AHB_49	AHB_36	AHB_37	AHB_61	AHB_13	AHB_64	AHB_45	AHB_24	AHB_3	AHB_27	AHB_68	AHB_55	AHB_60	AHB_6	AHB_51	AHB_14	AHB_2	AHB_15	AHB_16	AHB_53	AHB_11	AHB_57	AHB_54	AHB_66	AHB_43	AHB_22	AHB_52	AHB_30	AHB_33	AHB_20
mutational_signature_contribution_SBS1	SBS1 (Age)	Number of mutations corellated with age	0.441410089	0.399124197	0.256873249	0.296426067	0.276514783	0.372449795	0.506706056	0.186759164	0.082158553	0.205446123	0.121595195	0.292350814	0.21211027	0.235096555	0.122312573	0.125787121	0.17665888	0.242909161	0.138171842	0.105415055	0.071906268	0.055275909	0	0	0.109373767	0.146359037	0.159193422	0.056583853	0	0.114299502	0.099910864	0.324192218	0.353904937	0.375332342	0.293363047	0.278805726	0.230279407	0.305472333	0.262556519	0.208463816	0.331399279	0.320449669	0.367944494	0.234273409	0.265304613	0.258823351	0.078054744	0.144145467	0.289833533	0.391976988	0.226085895	0.291889171	0.336109165	0.225731686	0.337073624	0.221799128	0.234424567	0.099751905	0.077431815	0.146900388	0.080444815	0.123147589	0	0	0	0	0	0	0.095248761	0	0.06156185	0	0.0913042
mutational_signature_contribution_SBS12	SBS12 (Unknown)	Etiology unknown	0	0	0.125526827	0.103298975	0.059684176	0	0	0.186610568	0	0	0	0	0	0	0	0.374517773	0	0	0.137352077	0	0	0	0	0.134325495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mutational_signature_contribution_SBS13	SBS13 (APOBEC)	Attributed to activity of the AID/APOBEC family of cytidine deaminases	0	0	0	0.089049514	0	0	0	0	0.160718616	0.124969118	0	0	0	0	0.092823419	0.066680732	0.091513831	0.060488425	0	0	0.068113936	0	0.06224064	0	0.330117485	0.271999698	0.199895829	0.302168547	0.335162064	0.389296426	0.352389135	0	0	0	0.070169136	0.071974747	0	0.107194841	0.124493826	0	0	0	0.074037885	0	0	0	0.067431721	0	0	0	0	0.154135885	0.070553971	0	0	0	0	0	0	0.116707661	0	0.091650614	0	0	0	0	0.073702727	0.148500866	0.128677967	0	0	0	0
mutational_signature_contribution_SBS16	SBS16 (Unknown)	Unknown etiology	0	0	0	0	0	0	0.177615457	0	0	0	0.125883852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102572426	0	0	0	0	0	0	0	0	0
mutational_signature_contribution_SBS18	SBS18 (ROS)	Possibly linked to damage by reactive oxygen species (ROS)	0	0	0	0	0.06752346	0	0	0	0.196178572	0.075898319	0	0	0.129609593	0	0	0	0.10179617	0	0.086753286	0	0	0	0.133364101	0.126588964	0.054318568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113697933	0	0	0	0	0	0	0	0	0	0.099876782	0	0.075116201	0	0.076431168	0	0.088238997	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mutational_signature_contribution_SBS19	SBS19 (Unknown)	Unknown etiology	0	0.056565708	0.102901858	0.125327927	0.178050108	0.174399126	0.133013119	0	0.132384409	0	0	0.056171781	0	0	0	0	0.072250035	0.10239646	0	0	0	0.144303803	0	0	0	0.056573197	0	0	0	0	0	0.091105598	0.163741459	0.125927262	0.073328459	0	0	0	0	0	0.130634053	0.226635794	0.085387249	0	0.121433196	0.083073106	0.171915329	0.150812401	0.104270566	0.122465981	0.175365844	0	0	0.200902914	0	0	0.063823937	0	0	0	0	0	0	0.077310872	0.066882354	0	0	0	0	0	0	0	0
mutational_signature_contribution_SBS2	SBS2 (APOBEC)	Attributed to activity of AID/APOBEC family of cytidine deaminases	0	0	0	0.058979484	0.052918794	0.068909172	0	0.17928415	0.171018301	0.216180779	0.109153354	0.096970742	0	0	0	0	0.056208297	0	0.060127704	0	0.12723927	0	0	0	0.116192792	0.156255811	0	0.257333443	0.286791933	0.192431057	0.160366083	0	0	0	0.088232267	0.08929626	0	0	0	0.073991817	0	0	0	0	0	0	0	0.134949086	0	0	0	0.073492529	0.081043104	0	0	0	0	0	0	0.118403835	0	0	0	0.0537411	0	0	0	0	0	0	0	0	0
mutational_signature_contribution_SBS24	SBS24 (Aflatoxin)	Associated with aflatoxin exposure	0.070213871	0	0	0	0	0	0	0.254607648	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10813338	0.135460604	0	0	0	0.087445722	0	0.072285549	0	0.060582633	0	0	0	0	0.064123296	0	0	0	0	0	0	0	0.143242491	0	0	0	0	0	0	0.104440951	0	0	0	0.063328329	0	0	0.070314751	0.089362752	0	0.213501996	0	0.273109018	0	0.17290369	0	0	0	0.112252447	0.097059752	0.072394128	0.114091975	0.199160015
mutational_signature_contribution_SBS26	SBS26(MMR)	SBS26 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS21, and SBS44.	0	0	0	0	0	0.103014544	0	0	0	0	0.196055308	0.111117019	0.081522924	0.063098433	0.114045769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088198225	0	0	0	0	0	0	0	0.091720642	0.067348822	0	0.11708386	0	0.084877023	0	0	0	0	0	0	0
mutational_signature_contribution_SBS29	SBS29(Tobacco chewing)	SBS29 has been found in cancer samples from individuals with a tobacco chewing habit.	0	0	0	0	0	0.156470981	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29176812	0	0	0	0	0	0	0	0.05642829	0	0	0	0	0	0	0	0	0	0	0.083215591	0.068214337	0	0	0	0	0.131641305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086897905	0	0	0	0	0	0
